,0
0,12.0
1,5.0
2,2.0
3,12.0
4,10.0
5,10.0
6,11.0
7,10.0
8,10.0
9,14.0
10,3.0
11,10.0
12,8.0
13,2.0
14,11.0
15,10.0
16,2.0
17,6.0
18,6.0
19,10.0
20,10.0
21,6.0
22,14.0
23,2.0
24,12.0
25,10.0
26,11.0
27,5.0
28,14.0
29,6.0
30,11.0
31,3.0
32,3.0
33,10.0
34,8.0
35,14.0
36,12.0
37,12.0
38,2.0
39,2.0
40,8.0
41,10.0
42,2.0
43,6.0
44,6.0
45,2.0
46,2.0
47,6.0
48,11.0
49,14.0
50,12.0
51,14.0
52,10.0
53,2.0
54,6.0
55,12.0
56,10.0
57,5.0
58,14.0
59,3.0
60,10.0
61,10.0
62,2.0
63,12.0
64,12.0
65,14.0
66,10.0
67,11.0
68,14.0
69,12.0
70,14.0
71,8.0
72,6.0
73,12.0
74,11.0
75,10.0
76,10.0
77,2.0
78,5.0
79,12.0
80,11.0
81,12.0
82,10.0
83,11.0
84,2.0
85,12.0
86,10.0
87,6.0
88,14.0
89,2.0
90,2.0
91,14.0
92,6.0
93,2.0
94,2.0
95,5.0
96,12.0
97,10.0
98,10.0
99,14.0
100,6.0
101,6.0
102,3.0
103,10.0
104,5.0
105,14.0
106,2.0
107,6.0
108,3.0
109,10.0
110,14.0
111,6.0
112,10.0
113,11.0
114,10.0
115,14.0
116,11.0
117,2.0
118,6.0
119,12.0
120,14.0
121,12.0
122,14.0
123,14.0
124,6.0
125,2.0
126,10.0
127,12.0
128,11.0
129,11.0
130,10.0
131,10.0
132,2.0
133,6.0
134,6.0
135,5.0
136,3.0
137,8.0
138,10.0
139,14.0
140,10.0
141,12.0
142,10.0
143,14.0
144,2.0
145,12.0
146,14.0
147,14.0
148,10.0
149,11.0
150,11.0
151,2.0
152,6.0
153,2.0
154,6.0
155,11.0
156,14.0
157,14.0
158,8.0
159,2.0
160,10.0
161,10.0
162,10.0
163,8.0
164,10.0
165,11.0
166,6.0
167,2.0
168,5.0
169,10.0
170,12.0
171,11.0
172,5.0
173,10.0
174,10.0
175,11.0
176,12.0
177,14.0
178,3.0
179,5.0
180,6.0
181,6.0
182,10.0
183,12.0
184,12.0
185,6.0
186,2.0
187,6.0
188,5.0
189,2.0
190,14.0
191,2.0
192,3.0
193,2.0
194,2.0
195,6.0
196,10.0
197,2.0
198,8.0
199,14.0
200,10.0
201,6.0
202,3.0
203,2.0
204,10.0
205,14.0
206,12.0
207,12.0
208,12.0
209,10.0
210,2.0
211,10.0
212,12.0
213,3.0
214,8.0
215,8.0
216,12.0
217,10.0
218,10.0
219,6.0
220,6.0
